step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,8.955431439972017e-06,-8.442008947895374e-06,-11.845220565795898,0.0,0.0,DRL,28.906265509024433,2.0,-1.9849703311920166
2,0.05251794680953026,-0.052156414836645126,-12.011713981628418,0.0,0.0,DRL,28.805980804554718,2.0,-1.9854254722595215
3,0.313190758228302,-0.30862730741500854,-12.144886016845703,0.0,0.0,DRL,28.472901427515048,2.0,-1.9852523803710938
4,0.7448161244392395,-0.733055055141449,-12.19055461883545,0.0,0.0,DRL,28.08378726126055,2.0,-1.9820964336395264
5,1.2776538133621216,-1.2583812475204468,-12.19005012512207,0.0,0.0,DRL,27.66494929799996,2.0,-1.9622913599014282
6,1.8821518421173096,-1.8550660610198975,-12.171607971191406,0.0,0.0,DRL,27.024240196723046,2.0,-1.8213924169540405
7,2.5272281169891357,-2.486825704574585,-12.145591735839844,0.0,0.0,DRL,26.486775697533577,2.0,-0.21012258529663086
8,3.191420078277588,-3.0753517150878906,-12.155303001403809,0.0,0.0,DRL,25.782487699430657,2.0,1.6008965969085693
9,3.876885175704956,-3.4289679527282715,-12.318326950073242,0.0,0.0,DRL,25.225951961765674,2.0,1.89577317237854
10,4.570407390594482,-3.4509778022766113,-12.477705955505371,0.0,0.0,DRL,24.52143584865394,2.0,1.9169034957885742
11,5.2741851806640625,-3.2149553298950195,-12.540185928344727,0.0,0.0,DRL,23.80583153167128,2.0,1.849515438079834
12,5.969136714935303,-2.81434965133667,-12.543700218200684,0.0,0.0,DRL,23.00769519481276,2.0,1.5174071788787842
13,6.671778678894043,-2.3191006183624268,-12.51943588256836,0.0,0.0,DRL,22.267418456828093,2.0,-0.0214383602142334
14,7.37542200088501,-1.8423998355865479,-12.521768569946289,0.0,0.0,DRL,21.599444072151652,2.0,-1.4624699354171753
15,8.07946491241455,-1.573006272315979,-12.638154983520508,0.0,0.0,DRL,20.83377586966395,2.0,-1.7914488315582275
16,8.778748512268066,-1.5919609069824219,-12.764281272888184,0.0,0.0,DRL,20.110425067338234,2.0,-1.7520076036453247
17,9.479491233825684,-1.8354864120483398,-12.819782257080078,0.0,0.0,DRL,19.53211129666177,2.0,-1.3486043214797974
18,10.18139362335205,-2.2140135765075684,-12.82144832611084,0.0,0.0,DRL,18.857496124243376,2.0,0.24417734146118164
