step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,4.673253450881987e-11,4.638794209865793e-11,-13.050102233886719,0.0,0.0,GLOBAL,28.868259001832016,2.9948231195267905,0.17616606582376626
2,0.08264568448066711,0.004856097977608442,-13.232331275939941,0.0,0.0,GLOBAL,28.827718966105024,2.9948228914937456,0.17616994234272768
3,0.4815070629119873,0.02802129276096821,-13.387203216552734,0.0,0.0,GLOBAL,28.335170614569762,2.9948090106817284,0.17640575256925523
4,1.116707444190979,0.06489162892103195,-13.440939903259277,0.0,0.0,GLOBAL,27.661825384011067,2.9969960105974587,0.13421964261208089
5,1.9189581871032715,0.11052471399307251,-13.444158554077148,0.0,0.0,GLOBAL,26.875709463755545,2.998013811174071,0.10914755155074943
6,2.822463035583496,0.15734317898750305,-13.427497863769531,0.0,0.0,GLOBAL,25.99844779471741,2.999165504016997,0.07075506705863516
7,3.787231922149658,0.2006632536649704,-13.403474807739258,0.0,0.0,GLOBAL,25.06474314524377,2.999767520601562,0.037347320438763584
8,4.782092571258545,0.23662838339805603,-13.384529113769531,0.0,0.0,GLOBAL,24.052188038736272,2.999982965384763,0.010109767615776154
9,5.807705402374268,0.2640720307826996,-13.35789966583252,0.0,0.0,GLOBAL,23.083365143789738,2.9999808881595067,-0.010708439554749592
10,6.845538139343262,0.28228458762168884,-13.329601287841797,0.0,0.0,GLOBAL,21.97064100564771,2.9998974496594086,-0.02480507059001458
11,7.881655693054199,0.2919382154941559,-13.301379203796387,0.0,0.0,GLOBAL,20.93565596767881,2.9998237120501976,-0.0325222480983781
12,8.930713653564453,0.29455575346946716,-13.272822380065918,0.0,0.0,GLOBAL,19.897455810629257,2.999795877876954,-0.03499558647079434
13,9.982280731201172,0.2917267382144928,-13.244209289550781,0.0,0.0,GLOBAL,18.83093511066244,2.99981604012189,-0.033222363362997664
14,11.028243064880371,0.2852528691291809,-13.223371505737305,0.0,0.0,GLOBAL,17.824503936076102,2.9998954146065167,-0.02504997849890587
15,12.084549903869629,0.27681827545166016,-13.195874214172363,0.0,0.0,GLOBAL,16.842387074531377,2.999937825030571,-0.019314397501548196
16,13.140634536743164,0.26813462376594543,-13.167136192321777,0.0,0.0,GLOBAL,15.677814029071541,2.9999707885925644,-0.013238866692775474
17,14.196429252624512,0.2601720988750458,-13.138455390930176,0.0,0.0,GLOBAL,14.690107068374411,2.9999905542849628,-0.007528226949572286
18,15.25204849243164,0.25349026918411255,-13.109781265258789,0.0,0.0,GLOBAL,13.50437450981033,2.999998856769474,-0.002619042162550876
19,16.307554244995117,0.24837251007556915,-13.081108093261719,0.0,0.0,GLOBAL,12.55847823794035,2.999999744379095,0.0012384366610685422
20,17.36300277709961,0.24488171935081482,-13.052441596984863,0.0,0.0,GLOBAL,11.445322096011182,2.999997399179228,0.003950306047393438
