step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,0.0,0.0,-13.063419342041016,0.0,0.0,GLOBAL,28.935191757198755,2.9948231195249875,0.17616606585441102
2,0.08566905558109283,0.005033433903008699,-13.243647575378418,0.0,0.0,GLOBAL,28.753602724096652,2.994822869851158,0.1761703102582175
3,0.4790349304676056,0.027881596237421036,-13.39557933807373,0.0,0.0,GLOBAL,28.431634383759043,2.994809286731418,0.1764010660604227
4,1.1298668384552002,0.065663181245327,-13.449443817138672,0.0,0.0,GLOBAL,27.722250063061036,2.9970019316585237,0.13408736568028884
5,1.9251465797424316,0.11089275777339935,-13.4524507522583,0.0,0.0,GLOBAL,26.862594379965753,2.9980178771429338,0.10903581215076132
6,2.8279988765716553,0.15766048431396484,-13.435863494873047,0.0,0.0,GLOBAL,26.036956646519332,2.9991688670331067,0.07061237157433252
7,3.7923519611358643,0.20093221962451935,-13.411888122558594,0.0,0.0,GLOBAL,25.063517896674384,2.9997694528904493,0.037191793521323124
8,4.793545722961426,0.23713919520378113,-13.385173797607422,0.0,0.0,GLOBAL,24.032306384171008,2.999984150637152,0.009751713997305149
9,5.823525905609131,0.2646234333515167,-13.35689926147461,0.0,0.0,GLOBAL,23.092340731849863,2.999979194413234,-0.011172872849997626
10,6.857329368591309,0.28262025117874146,-13.328746795654297,0.0,0.0,GLOBAL,22.055825190625832,2.999894671070261,-0.025138864020629204
11,7.899627208709717,0.29213276505470276,-13.30035400390625,0.0,0.0,GLOBAL,20.99684874415311,2.999820408150279,-0.03282558217448445
12,8.947138786315918,0.29453808069229126,-13.271832466125488,0.0,0.0,GLOBAL,19.914737301090117,2.999794274262448,-0.035132778174132254
13,9.997777938842773,0.2915414869785309,-13.243230819702148,0.0,0.0,GLOBAL,18.927584454375054,2.999816160703917,-0.03321147361396705
14,11.043193817138672,0.28494834899902344,-13.22239875793457,0.0,0.0,GLOBAL,17.852517380563043,2.9998964817072764,-0.024921858684808437
15,12.092068672180176,0.27648305892944336,-13.20793628692627,0.0,0.0,GLOBAL,16.770792657723554,2.999939150121585,-0.019107474134035737
16,13.150335311889648,0.26773783564567566,-13.181238174438477,0.0,0.0,GLOBAL,15.770843209731913,2.9999719204760744,-0.012979844186128773
17,14.20045280456543,0.2598229646682739,-13.159849166870117,0.0,0.0,GLOBAL,14.568247438849976,2.9999911740476826,-0.007277062319714885
18,15.250398635864258,0.25319814682006836,-13.132489204406738,0.0,0.0,GLOBAL,13.48955253418453,2.999999040920894,-0.002398848414985104
19,16.30797576904297,0.24810676276683807,-13.103739738464355,0.0,0.0,GLOBAL,12.58620568367297,2.9999996540106917,0.0014408107895031983
20,17.364660263061523,0.24466285109519958,-13.075065612792969,0.0,0.0,GLOBAL,11.51501292587738,2.999997169577395,0.004120986243697401
21,18.420814514160156,0.24275019764900208,-13.04638671875,0.0,0.0,GLOBAL,10.362634028474577,2.9999946231290058,0.005679894105984155
22,19.520992279052734,0.24213893711566925,-13.016637802124023,0.0,0.0,GLOBAL,9.370141120360698,2.999994817065525,0.005576520419389532
23,20.566883087158203,0.24253487586975098,-12.987251281738281,0.0,0.0,GLOBAL,8.272950213370803,2.999995222900541,0.0053537439176884905
24,21.60966682434082,0.24354076385498047,-12.958673477172852,0.0,0.0,GLOBAL,7.169145171671394,2.9999963492490247,0.004680223554934278
25,22.65652084350586,0.24488745629787445,-12.930085182189941,0.0,0.0,GLOBAL,6.2074655684232605,2.9999976601950733,0.003746841881358841
26,23.7066707611084,0.24635080993175507,-12.901461601257324,0.0,0.0,GLOBAL,5.0532564986665465,2.911640519054153,0.722737495777036
27,24.756450653076172,0.26781538128852844,-12.880839347839355,0.0,0.0,GLOBAL,4.082307810630174,2.7617246613185418,1.1716982952385764
28,25.79458236694336,0.3755531311035156,-12.876937866210938,0.0,0.0,GLOBAL,3.070927192596907,2.63699255955555,1.4304790249593555
29,26.815988540649414,0.6004636287689209,-12.875913619995117,0.0,0.0,GLOBAL,2.1266039438341693,2.7041970730568576,1.2989681251172884
30,27.79312515258789,0.9202854633331299,-12.858773231506348,0.0,0.0,SAFETY,1.247046443822006,-1.845929775718344,0.7697683178180461
31,28.525386810302734,1.2459344863891602,-13.03080940246582,0.0,0.0,SAFETY,0.8520368738502039,-1.5276994490037543,1.290788283768343
32,28.525182723999023,1.2465689182281494,-13.02903938293457,0.0,0.0,SAFETY,0.7868016543897836,-1.5274635373016505,1.2910674429377922
33,28.527067184448242,1.2689745426177979,-13.042410850524902,0.0,0.0,SAFETY,0.8667089595750398,-1.515224364916283,1.3054099447928404
34,28.33975601196289,1.432078242301941,-13.116461753845215,0.0,0.0,SAFETY,1.0829275307960788,-1.5144438915852718,1.3063153138657058
35,27.99113655090332,1.687756896018982,-13.124799728393555,0.0,0.0,GLOBAL,1.5648761184473896,2.9741940342736664,0.39264468223946847
36,27.717248916625977,1.9970895051956177,-13.269229888916016,0.0,0.0,GLOBAL,1.9326991058128955,2.9953410438399533,0.1671287859340251
37,27.903627395629883,2.256349563598633,-13.575586318969727,0.0,0.0,GLOBAL,1.9711032110877496,2.9999967987144838,-0.004382659335276437
38,28.409780502319336,2.448303461074829,-13.710046768188477,0.0,0.0,GLOBAL,1.7762756958019206,2.996873566821865,-0.13692634693291944
39,29.119245529174805,2.567403793334961,-13.748285293579102,0.0,0.0,GLOBAL,1.5270347320687943,2.991182636085181,-0.2298400260670641
40,29.969350814819336,2.6237740516662598,-13.747631072998047,0.0,0.0,GLOBAL,1.4833205250552761,2.9854451653014786,-0.2951561704895018
41,30.89520835876465,2.6265764236450195,-13.738311767578125,0.0,0.0,GLOBAL,1.5554593921156643,2.9857865104005286,-0.291682900270543
42,31.877578735351562,2.589048147201538,-13.715519905090332,0.0,0.0,GLOBAL,2.094024798661929,2.988566988608137,-0.26166267330609233
43,32.88805389404297,2.5262653827667236,-13.688464164733887,0.0,0.0,GLOBAL,2.579445030080102,2.992353391296127,-0.21405882742500548
44,33.9154052734375,2.4520504474639893,-13.660345077514648,0.0,0.0,GLOBAL,3.5273292870839037,2.995844064765197,-0.15785543896597715
45,34.95319747924805,2.377359390258789,-13.631950378417969,0.0,0.0,GLOBAL,4.319460884482209,2.998313637741382,-0.10057499557067467
46,36.006385803222656,2.309546709060669,-13.6033935546875,0.0,0.0,GLOBAL,5.22778028882276,2.9997046949509563,-0.04209207869881659
47,37.046173095703125,2.2552835941314697,-13.575380325317383,0.0,0.0,GLOBAL,6.341420940765964,2.999997630482109,-0.0037705572174336534
48,38.097476959228516,2.2156810760498047,-13.54718017578125,0.0,0.0,GLOBAL,7.278934755395367,2.9998975499358167,0.024792940307321494
49,39.150394439697266,2.1909005641937256,-13.518896102905273,0.0,0.0,GLOBAL,8.341181116013205,2.999688322036338,0.04324315713288436
50,40.20427703857422,2.1791157722473145,-13.490478515625,0.0,0.0,GLOBAL,9.338204072156492,2.999539639314539,0.05255427842529513
51,41.251583099365234,2.1778688430786133,-13.469757080078125,0.0,0.0,GLOBAL,10.285355906287913,2.9995119605606586,0.054110982744302975
52,42.317543029785156,2.184321165084839,-13.442103385925293,0.0,0.0,GLOBAL,11.365944337282453,2.999581665835906,0.050098203371877516
53,43.365211486816406,2.195528507232666,-13.413588523864746,0.0,0.0,GLOBAL,12.360553720484837,2.9997051297096196,0.04206108407770358
54,44.414085388183594,2.209184408187866,-13.392714500427246,0.0,0.0,GLOBAL,13.39889574577744,2.9998301878669262,0.031919335241853725
55,45.46499252319336,2.2232749462127686,-13.378240585327148,0.0,0.0,GLOBAL,14.409537201210252,2.9999252211618392,0.021181771339818682
56,46.52449035644531,2.2363617420196533,-13.351534843444824,0.0,0.0,GLOBAL,15.581345421039385,2.9999843740124463,0.009682751734385212
57,47.582515716552734,2.2472312450408936,-13.322758674621582,0.0,0.0,GLOBAL,16.40678025637216,2.9999993379173353,0.0019931120261607533
58,48.632320404052734,2.2551987171173096,-13.301902770996094,0.0,0.0,GLOBAL,15.385841812344482,2.999997609008612,-0.0037876038089974277
59,49.690895080566406,2.2604167461395264,-13.274401664733887,0.0,0.0,GLOBAL,14.248101472349994,2.9999901214609603,-0.007698775009911873
60,50.748409271240234,2.263094663619995,-13.245668411254883,0.0,0.0,GLOBAL,13.323341063644685,2.9999839375744393,-0.009817041069590127
61,51.805030822753906,2.263684034347534,-13.216991424560547,0.0,0.0,GLOBAL,12.143679632219524,2.9999819520274187,-0.010406128471245328
62,52.86115646362305,2.2627053260803223,-13.188309669494629,0.0,0.0,GLOBAL,11.187548680499404,2.9999839889994164,-0.009801313542044464
63,53.916908264160156,2.260687828063965,-13.159627914428711,0.0,0.0,GLOBAL,10.159535386186286,2.9999883381025616,-0.008364881865921379
64,54.972564697265625,2.2581167221069336,-13.13094711303711,0.0,0.0,GLOBAL,9.120363001966668,2.9999930744058116,-0.006446201762886844
65,56.02803039550781,2.255404472351074,-13.102266311645508,0.0,0.0,GLOBAL,8.159783932324347,2.999997542083532,-0.003840246446168148
66,57.08342361450195,2.252878189086914,-13.073588371276855,0.0,0.0,GLOBAL,7.10754228145416,2.999999284234022,-0.00207234055055017
67,58.1387825012207,2.2507877349853516,-13.04491138458252,0.0,0.0,GLOBAL,6.054395013255823,2.9999999449305665,-0.0005748187522008386
68,59.1870002746582,2.249237060546875,-13.024033546447754,0.0,0.0,GLOBAL,5.090158859971382,2.999999947109483,0.0005633321372745584
69,60.244659423828125,2.248197078704834,-12.996526718139648,0.0,0.0,GLOBAL,4.117668576596839,2.999999696075417,0.0013503878720634032
70,61.30330276489258,2.24764084815979,-12.975193977355957,0.0,0.0,GLOBAL,3.155982629054612,2.999999464036385,0.0017932599930021486
71,62.352962493896484,2.247483968734741,-12.947794914245605,0.0,0.0,GLOBAL,2.4153699863617217,2.999999374749541,0.0019368795426795067
72,63.41217803955078,2.2476329803466797,-12.926466941833496,0.0,0.0,GLOBAL,1.6375700840440237,2.999999429408608,0.0018502832290137597
