step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,0.0,0.0,-13.06544017791748,0.0,0.0,DRL,28.840137726834712,2.0,-1.9851932525634766
2,0.0523272380232811,-0.051972437649965286,-13.232970237731934,0.0,0.0,DRL,28.851147662035103,2.0,-1.984817385673523
3,0.3127914071083069,-0.30823975801467896,-13.36618423461914,0.0,0.0,DRL,28.551028710042143,2.0,-1.9841415882110596
4,0.7376739382743835,-0.7259523868560791,-13.417333602905273,0.0,0.0,DRL,28.11431939756151,2.0,-1.9812071323394775
5,1.272154688835144,-1.2526865005493164,-13.42752456665039,0.0,0.0,DRL,27.6649827381824,2.0,-1.9611070156097412
6,1.8782234191894531,-1.8506414890289307,-13.410358428955078,0.0,0.0,DRL,27.031004003715715,2.0,-1.8248032331466675
7,2.51987361907959,-2.4788131713867188,-13.391430854797363,0.0,0.0,DRL,26.40705813352331,2.0,-0.28455567359924316
8,3.1914896965026855,-3.07620906829834,-13.399303436279297,0.0,0.0,DRL,25.857761602508102,2.0,1.6131770610809326
9,3.8741023540496826,-3.4325075149536133,-13.572318077087402,0.0,0.0,DRL,25.258601286081845,2.0,1.897348403930664
10,4.565631866455078,-3.4542083740234375,-13.758289337158203,0.0,0.0,DRL,24.469353868847435,2.0,1.9076719284057617
11,5.2615509033203125,-3.221397876739502,-13.845003128051758,0.0,0.0,DRL,23.818603961959003,2.0,1.8393769264221191
12,5.960409641265869,-2.8198037147521973,-13.870920181274414,0.0,0.0,DRL,23.06749149022124,2.0,1.518089771270752
13,6.661163330078125,-2.3270108699798584,-13.869190216064453,0.0,0.0,DRL,22.230826821204968,2.0,0.022055864334106445
14,7.3631463050842285,-1.8507463932037354,-13.893172264099121,0.0,0.0,DRL,21.556793338605853,2.0,-1.5156476497650146
15,8.070554733276367,-1.575195074081421,-14.019089698791504,0.0,0.0,DRL,20.862666285141458,2.0,-1.788417935371399
16,8.771846771240234,-1.5932261943817139,-14.148494720458984,0.0,0.0,DRL,20.10064693805959,2.0,-1.7535699605941772
17,9.47886848449707,-1.8359954357147217,-14.18962574005127,0.0,0.0,DRL,19.521705888154134,2.0,-1.2540948390960693
18,10.180329322814941,-2.2094385623931885,-14.176373481750488,0.0,0.0,DRL,18.77762487353453,2.0,0.4274163246154785
19,10.88276481628418,-2.575493574142456,-14.192513465881348,0.0,0.0,DRL,18.146837006173627,2.0,1.588773250579834
20,11.586034774780273,-2.736300230026245,-14.315407752990723,0.0,0.0,DRL,17.55910677356443,2.0,1.7783615589141846
