step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,0.0,0.0,-13.06544017791748,0.0,0.0,DRL,28.899339654138316,2.0,-1.9855055809020996
2,0.052329108119010925,-0.051982488483190536,-13.232980728149414,0.0,0.0,DRL,28.7363279558078,2.0,-1.9860025644302368
3,0.31280624866485596,-0.3083256483078003,-13.366278648376465,0.0,0.0,DRL,28.416027514709608,2.0,-1.985726237297058
4,0.7443069219589233,-0.7327404618263245,-13.412015914916992,0.0,0.0,DRL,28.16496958011436,2.0,-1.980384111404419
5,1.276105284690857,-1.2571126222610474,-13.41094970703125,0.0,0.0,DRL,27.624015788862454,2.0,-1.9623332023620605
6,1.8792904615402222,-1.8524221181869507,-13.392629623413086,0.0,0.0,DRL,26.980207888018608,2.0,-1.8271172046661377
7,2.523482322692871,-2.483377695083618,-13.366706848144531,0.0,0.0,DRL,26.43047261772447,2.0,-0.2181997299194336
8,3.192838668823242,-3.076491594314575,-13.376203536987305,0.0,0.0,DRL,25.7868967848853,2.0,1.611034631729126
9,3.8781070709228516,-3.429295063018799,-13.539661407470703,0.0,0.0,DRL,25.143234061212684,2.0,1.8977646827697754
10,4.57151985168457,-3.450037717819214,-13.699296951293945,0.0,0.0,DRL,24.46536781525878,2.0,1.9204423427581787
11,5.269349098205566,-3.215608596801758,-13.761482238769531,0.0,0.0,DRL,23.67088978083822,2.0,1.8579816818237305
12,5.970138072967529,-2.810835599899292,-13.765438079833984,0.0,0.0,DRL,22.973891198868166,2.0,1.5105433464050293
13,6.672756671905518,-2.314155340194702,-13.7410306930542,0.0,0.0,DRL,22.159132885148814,2.0,-0.000891566276550293
14,7.37637996673584,-1.8363025188446045,-13.742703437805176,0.0,0.0,DRL,21.516150946126015,2.0,-1.4525748491287231
15,8.080410957336426,-1.564168095588684,-13.85805606842041,0.0,0.0,DRL,20.816377895778924,2.0,-1.7943854331970215
16,8.784586906433105,-1.5778565406799316,-13.973311424255371,0.0,0.0,DRL,20.205100556214934,2.0,-1.7688395977020264
17,9.489046096801758,-1.8190890550613403,-14.013954162597656,0.0,0.0,DRL,19.40253322814334,2.0,-1.2883590459823608
18,10.193869590759277,-2.196258544921875,-13.996500015258789,0.0,0.0,DRL,18.770496524053133,2.0,0.3362007141113281
19,10.898839950561523,-2.5711612701416016,-13.997771263122559,0.0,0.0,DRL,18.14309355525452,2.0,1.588597297668457
20,11.603689193725586,-2.746209144592285,-14.100913047790527,0.0,0.0,DRL,17.372663544844055,2.0,1.8181934356689453
21,12.303447723388672,-2.6550772190093994,-14.20218563079834,0.0,0.0,DRL,16.76031081513451,2.0,1.7363865375518799
22,13.009600639343262,-2.3618624210357666,-14.226724624633789,0.0,0.0,DRL,15.99728631186801,2.0,1.257568359375
23,13.715563774108887,-1.9549015760421753,-14.204214096069336,0.0,0.0,DRL,15.263462615068486,2.0,-0.37100839614868164
24,14.421195030212402,-1.5667616128921509,-14.21143627166748,0.0,0.0,DRL,14.542970001152053,2.0,-1.4272418022155762
25,15.121908187866211,-1.3841973543167114,-14.315781593322754,0.0,0.0,DRL,13.787069885665804,2.0,-1.5760189294815063
26,15.823811531066895,-1.4475330114364624,-14.405390739440918,0.0,0.0,DRL,13.102251277332288,2.0,-1.563399076461792
27,16.531494140625,-1.6953651905059814,-14.423309326171875,0.0,0.0,DRL,12.449488700033765,2.0,-1.2985457181930542
28,17.24432373046875,-2.0589442253112793,-14.403637886047363,0.0,0.0,DRL,11.780534489766206,2.0,-0.6298503875732422
29,17.944557189941406,-2.444491147994995,-14.377216339111328,0.0,0.0,DRL,11.108470724234742,2.0,0.6830415725708008
30,18.650169372558594,-2.7462754249572754,-14.402776718139648,0.0,0.0,DRL,10.531815055838512,2.0,1.3654699325561523
31,19.355348587036133,-2.843506097793579,-14.472949981689453,0.0,0.0,DRL,9.83089938017255,2.0,0.7143008708953857
