step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,0.0,0.0,-13.06544017791748,0.0,0.0,DRL,28.873590853446967,2.0,-1.9852699041366577
2,0.0533231645822525,-0.052968572825193405,-13.23453140258789,0.0,0.0,DRL,28.82062398130973,2.0,-1.9849061965942383
3,0.3132537603378296,-0.3087427616119385,-13.369099617004395,0.0,0.0,DRL,28.516222591415872,2.0,-1.9847291707992554
4,0.7390785217285156,-0.7274063229560852,-13.421416282653809,0.0,0.0,DRL,28.08294366497062,2.0,-1.9821572303771973
5,1.2742211818695068,-1.2548799514770508,-13.432355880737305,0.0,0.0,DRL,27.645815357715854,2.0,-1.9620215892791748
6,1.8806896209716797,-1.8534022569656372,-13.415241241455078,0.0,0.0,DRL,27.033425681147286,2.0,-1.8155806064605713
7,2.522573709487915,-2.4817564487457275,-13.396209716796875,0.0,0.0,DRL,26.3866552836934,2.0,-0.26898741722106934
8,3.1898510456085205,-3.0732622146606445,-13.416988372802734,0.0,0.0,DRL,25.780397688831858,2.0,1.6000733375549316
9,3.877913236618042,-3.4346959590911865,-13.582436561584473,0.0,0.0,DRL,25.223219209098243,2.0,1.8976609706878662
10,4.573077201843262,-3.4624290466308594,-13.7449951171875,0.0,0.0,DRL,24.467109001927923,2.0,1.9214651584625244
11,5.266956806182861,-3.2333855628967285,-13.814532279968262,0.0,0.0,DRL,23.852675132898547,2.0,1.8555829524993896
12,5.964531421661377,-2.8329575061798096,-13.829219818115234,0.0,0.0,DRL,23.089040555886307,2.0,1.486222743988037
13,6.669524669647217,-2.3375635147094727,-13.805957794189453,0.0,0.0,DRL,22.306187399671632,2.0,0.07572174072265625
14,7.369807720184326,-1.8636724948883057,-13.810929298400879,0.0,0.0,DRL,21.599716082485894,2.0,-1.4138989448547363
15,8.076139450073242,-1.5822921991348267,-13.92276382446289,0.0,0.0,DRL,20.828924959642947,2.0,-1.7747668027877808
16,8.776883125305176,-1.5878301858901978,-14.049869537353516,0.0,0.0,DRL,20.143323823329865,2.0,-1.7655856609344482
17,9.478527069091797,-1.8212320804595947,-14.109122276306152,0.0,0.0,DRL,19.485561782404687,2.0,-1.2829549312591553
18,10.186019897460938,-2.193230628967285,-14.094602584838867,0.0,0.0,DRL,18.811064115638416,2.0,0.36353206634521484
19,10.887893676757812,-2.5607049465179443,-14.10190486907959,0.0,0.0,DRL,18.18214984966565,2.0,1.5700666904449463
20,11.590760231018066,-2.729295253753662,-14.218366622924805,0.0,0.0,DRL,17.48796251082401,2.0,1.805102825164795
21,12.29896068572998,-2.640594244003296,-14.309060096740723,0.0,0.0,DRL,16.770810815354128,2.0,1.7342805862426758
22,13.006096839904785,-2.350144147872925,-14.331554412841797,0.0,0.0,DRL,15.930706927350222,2.0,1.1983437538146973
23,13.712562561035156,-1.946976900100708,-14.308320045471191,0.0,0.0,DRL,15.297847419733694,2.0,-0.40503668785095215
24,14.424386978149414,-1.5648001432418823,-14.317366600036621,0.0,0.0,DRL,14.554350007324127,2.0,-1.4603562355041504
25,15.123801231384277,-1.392025351524353,-14.411791801452637,0.0,0.0,DRL,13.87772034015013,2.0,-1.6003680229187012
26,15.82394027709961,-1.4650685787200928,-14.491989135742188,0.0,0.0,DRL,13.14539572954409,2.0,-1.5346733331680298
27,16.525423049926758,-1.721191167831421,-14.518969535827637,0.0,0.0,DRL,12.458568138530737,2.0,-1.5979783535003662
28,17.2279109954834,-2.0935535430908203,-14.523904800415039,0.0,0.0,DRL,11.860300007623922,2.0,-0.8817605972290039
29,17.935951232910156,-2.5233397483825684,-14.498371124267578,0.0,0.0,DRL,11.222651030691166,2.0,0.949317455291748
30,18.642810821533203,-2.867631196975708,-14.54635238647461,0.0,0.0,DRL,10.597547742150212,2.0,1.6170740127563477
31,19.348752975463867,-2.9623401165008545,-14.656105995178223,0.0,0.0,DRL,9.95767091062029,2.0,1.3335237503051758
32,20.048315048217773,-2.830850124359131,-14.691804885864258,0.0,0.0,DRL,9.210544005465625,2.0,-0.054465651512145996
33,20.748838424682617,-2.6026859283447266,-14.670602798461914,0.0,0.0,DRL,8.461345130229908,2.0,-1.261322021484375
34,21.45095443725586,-2.4720678329467773,-14.719685554504395,0.0,0.0,DRL,7.720734235425701,2.0,-1.5612491369247437
35,22.154003143310547,-2.545179843902588,-14.791921615600586,0.0,0.0,DRL,7.1636770260885445,2.0,-1.5828213691711426
36,22.862470626831055,-2.794327735900879,-14.809086799621582,0.0,0.0,DRL,6.514268504883564,2.0,-0.9294418096542358
37,23.564861297607422,-3.1431286334991455,-14.789606094360352,0.0,0.0,DRL,6.0137062273528334,2.0,0.44095611572265625
38,24.27259063720703,-3.464708089828491,-14.795153617858887,0.0,0.0,DRL,5.573509836424429,2.0,1.5714077949523926
39,24.974565505981445,-3.5903055667877197,-14.892638206481934,0.0,0.0,DRL,5.010051456424559,2.0,1.4845638275146484
40,25.677200317382812,-3.4829044342041016,-14.963824272155762,0.0,0.0,DRL,4.373328742318472,2.0,-0.3502075672149658
41,26.380355834960938,-3.2686498165130615,-14.960792541503906,0.0,0.0,DRL,3.752552122321157,2.0,-1.8443307876586914
42,27.08409309387207,-3.191258192062378,-15.063940048217773,0.0,0.0,DRL,3.165660515126705,2.0,-1.9593828916549683
43,27.787715911865234,-3.364882707595825,-15.173142433166504,0.0,0.0,DRL,2.8724473446184824,2.0,-1.898654818534851
44,28.491050720214844,-3.730632781982422,-15.218124389648438,0.0,0.0,DRL,2.9228092737871902,2.0,0.0
45,29.194499969482422,-4.1624555587768555,-15.229056358337402,0.0,0.0,DRL,3.1259415158337713,2.0,1.4737677574157715
46,29.922115325927734,-4.421506404876709,-15.36820125579834,0.0,0.0,DRL,3.26710819382116,2.0,1.9019513130187988
47,30.6212100982666,-4.394021034240723,-15.488991737365723,0.0,0.0,DRL,3.3721369273585315,2.0,1.9399123191833496
48,31.318574905395508,-4.132575988769531,-15.546151161193848,0.0,0.0,DRL,3.235915900086477,2.0,1.8578379154205322
49,32.02293014526367,-3.7087645530700684,-15.547121047973633,0.0,0.0,DRL,3.088687921470591,2.0,1.4673795700073242
50,32.72270202636719,-3.2047016620635986,-15.527680397033691,0.0,0.0,DRL,3.1294901789872527,2.0,-1.192608118057251
51,33.415775299072266,-2.7660462856292725,-15.600597381591797,0.0,0.0,DRL,3.265987252361339,2.0,-1.9289826154708862
52,34.106754302978516,-2.6409053802490234,-15.798219680786133,0.0,0.0,DRL,3.7589983367561004,2.0,-1.9552874565124512
53,34.81229019165039,-2.8044662475585938,-15.899433135986328,0.0,0.0,DRL,4.405027116546523,2.0,-1.7229503393173218
54,35.508174896240234,-3.157426357269287,-15.909717559814453,0.0,0.0,DRL,5.261914628748154,2.0,1.2128729820251465
55,36.21149444580078,-3.5279159545898438,-15.952369689941406,0.0,0.0,DRL,6.025163554506052,2.0,1.982381820678711
56,36.91093444824219,-3.612170457839966,-16.127660751342773,0.0,0.0,DRL,6.585069947700302,2.0,1.9956388473510742
57,37.616580963134766,-3.419095277786255,-16.219675064086914,0.0,0.0,DRL,7.197917388245383,2.0,1.996840000152588
58,38.31705093383789,-3.032618999481201,-16.2431583404541,0.0,0.0,DRL,7.6963517718009635,2.0,1.9982080459594727
59,39.018638610839844,-2.5206973552703857,-16.24256706237793,0.0,0.0,DRL,8.262835079698764,2.0,1.9987773895263672
60,39.72096252441406,-1.9319099187850952,-16.235593795776367,0.0,0.0,DRL,8.77948694630824,2.0,1.9983365535736084
61,40.42866516113281,-1.292915940284729,-16.211349487304688,0.0,0.0,DRL,9.31423811595895,2.0,1.9951121807098389
62,41.13028335571289,-0.6321454048156738,-16.19073486328125,0.0,0.0,DRL,9.954368946491167,2.0,1.968909740447998
63,41.832366943359375,0.044321514666080475,-16.176021575927734,0.0,0.0,DRL,10.646605478262144,2.0,1.979471206665039
64,42.53475570678711,0.7281894087791443,-16.165618896484375,0.0,0.0,DRL,11.430432650172422,2.0,1.9356410503387451
65,43.2374153137207,1.4154553413391113,-16.158170700073242,0.0,0.0,DRL,12.230704347014948,2.0,1.3628334999084473
66,43.94514465332031,2.090442180633545,-16.137664794921875,0.0,0.0,DRL,12.920787924677759,2.0,-1.7133365869522095
67,44.647064208984375,2.578702688217163,-16.319107055664062,0.0,0.0,DRL,13.785355271372122,2.0,-1.997609257698059
68,45.349056243896484,2.6781680583953857,-16.5775146484375,0.0,0.0,DRL,14.443746494993341,2.0,-1.9995572566986084
69,46.05081558227539,2.485841751098633,-16.70151710510254,0.0,0.0,DRL,15.107833021441243,2.0,-1.9994105100631714
70,46.75287628173828,2.095902919769287,-16.744415283203125,0.0,0.0,DRL,15.604790608379664,2.0,-1.9973164796829224
71,47.45545959472656,1.5808697938919067,-16.75609016418457,0.0,0.0,DRL,16.336979360010623,2.0,-1.9762794971466064
72,48.15833282470703,0.9906207919120789,-16.756980895996094,0.0,0.0,DRL,15.796043853201905,2.0,1.895681381225586
73,48.861671447753906,0.49686330556869507,-16.936790466308594,0.0,0.0,DRL,14.918157521444364,2.0,1.7612199783325195
74,49.56440353393555,0.3824179768562317,-17.19217872619629,0.0,0.0,DRL,14.260356770488373,2.0,1.8082056045532227
75,50.27190017700195,0.5358709096908569,-17.27887725830078,0.0,0.0,DRL,13.529169647567354,2.0,1.8062405586242676
76,50.973514556884766,0.8743804097175598,-17.29640007019043,0.0,0.0,DRL,12.988932650523894,2.0,1.9335627555847168
77,51.6818733215332,1.3394486904144287,-17.297243118286133,0.0,0.0,DRL,12.24877300213657,2.0,1.994652271270752
78,52.38980484008789,1.890395998954773,-17.279922485351562,0.0,0.0,DRL,11.606087187513292,2.0,1.813955307006836
79,53.09082794189453,2.4901888370513916,-17.253345489501953,0.0,0.0,DRL,11.100295268131436,2.0,1.9638457298278809
80,53.79690933227539,3.1181271076202393,-17.225698471069336,0.0,0.0,DRL,10.521375021997104,2.0,-1.473860502243042
81,54.49779510498047,3.6427505016326904,-17.35862159729004,0.0,0.0,DRL,9.871229707148004,2.0,-1.9514384269714355
82,55.199554443359375,3.7941792011260986,-17.616090774536133,0.0,0.0,DRL,9.429280040331204,2.0,-1.9657680988311768
83,55.901153564453125,3.642512083053589,-17.75322914123535,0.0,0.0,DRL,8.668857765662748,2.0,-1.8004697561264038
84,56.603153228759766,3.289405584335327,-17.793920516967773,0.0,0.0,DRL,7.9053987391000335,2.0,0.25510597229003906
85,57.305816650390625,2.880211591720581,-17.80893325805664,0.0,0.0,DRL,7.086568140548123,2.0,1.9829483032226562
86,58.0151481628418,2.686307668685913,-17.988588333129883,0.0,0.0,DRL,6.3995171160510695,2.0,1.99949312210083
87,58.71731185913086,2.795243501663208,-18.117883682250977,0.0,0.0,DRL,5.735155264315257,2.0,1.998506784439087
88,59.41916275024414,3.1260921955108643,-18.15868377685547,0.0,0.0,DRL,5.240902272352938,2.0,1.9227030277252197
89,60.12156295776367,3.601254463195801,-18.161121368408203,0.0,0.0,DRL,4.837148216670835,2.0,0.0
90,60.82948684692383,4.107211589813232,-18.159618377685547,0.0,0.0,DRL,4.692086398586462,2.0,-1.6616991758346558
91,61.531585693359375,4.390740394592285,-18.313817977905273,0.0,0.0,DRL,4.393363179487033,2.0,-1.7949544191360474
92,62.23421096801758,4.367406845092773,-18.463050842285156,0.0,0.0,DRL,3.978570277572403,2.0,-1.7528634071350098
93,62.93687057495117,4.118122100830078,-18.52367401123047,0.0,0.0,DRL,3.5769469348690253,2.0,-1.4769952297210693
94,63.63996124267578,3.7313637733459473,-18.5318546295166,0.0,0.0,DRL,2.854075636908548,2.0,0.0
95,64.3492202758789,3.321781635284424,-18.54313087463379,0.0,0.0,DRL,2.2036746450273053,2.0,1.9564976692199707
96,65.0513687133789,3.1118111610412598,-18.687583923339844,0.0,0.0,DRL,1.965083891006012,2.0,1.9722418785095215
97,65.7579116821289,3.2070508003234863,-18.81519889831543,0.0,0.0,DRL,2.233817998616152,2.0,1.0897579193115234
98,66.45865631103516,3.495875597000122,-18.815387725830078,0.0,0.0,DRL,2.725087097557029,2.0,-1.7519460916519165
99,67.16072845458984,3.7527403831481934,-18.89520263671875,0.0,0.0,DRL,3.1027389448735123,2.0,-1.9932892322540283
100,67.86378479003906,3.7180979251861572,-19.05649185180664,0.0,0.0,DRL,3.6266918930892635,2.0,-1.9993736743927002
101,68.57144927978516,3.440363883972168,-19.116174697875977,0.0,0.0,DRL,3.814211960628801,2.0,-1.999542236328125
102,69.27332305908203,2.9991183280944824,-19.125350952148438,0.0,0.0,DRL,4.088159041221051,2.0,-1.999744176864624
103,69.98078918457031,2.4499356746673584,-19.109521865844727,0.0,0.0,DRL,4.450252157184975,2.0,-1.9997564554214478
104,70.6873550415039,1.8378607034683228,-19.08518409729004,0.0,0.0,DRL,4.8243764553844555,2.0,-1.9997596740722656
105,71.38825988769531,1.192731261253357,-19.065860748291016,0.0,0.0,DRL,5.308481308402909,2.0,-1.9992611408233643
106,72.08988189697266,0.5242934226989746,-19.051860809326172,0.0,0.0,DRL,6.023938286408893,2.0,-1.9923456907272339
107,72.7920913696289,-0.15786047279834747,-19.04179573059082,0.0,0.0,DRL,6.6485489051854,2.0,0.612037181854248
108,73.49958801269531,-0.7682978510856628,-19.114337921142578,0.0,0.0,DRL,7.386207664570855,2.0,1.7919092178344727
109,74.20150756835938,-1.0455611944198608,-19.34312629699707,0.0,0.0,DRL,8.119807748667473,2.0,1.8588387966156006
110,74.90371704101562,-0.9973183870315552,-19.503395080566406,0.0,0.0,DRL,8.770824701653828,2.0,1.7926881313323975
111,75.60592651367188,-0.7230167388916016,-19.561609268188477,0.0,0.0,DRL,9.525507045677756,2.0,1.6220169067382812
112,76.30870819091797,-0.3112415671348572,-19.571075439453125,0.0,0.0,DRL,10.178114296015826,2.0,1.1036696434020996
113,77.0118179321289,0.15554773807525635,-19.56462860107422,0.0,0.0,DRL,10.854634527110438,2.0,-1.9793089628219604
114,77.71975708007812,0.49810582399368286,-19.708965301513672,0.0,0.0,DRL,11.555505796457666,2.0,-1.9767005443572998
115,78.42106628417969,0.4908031225204468,-19.903169631958008,0.0,0.0,DRL,12.269702161269084,2.0,-1.890650987625122
116,79.12242889404297,0.23195244371891022,-19.97850227355957,0.0,0.0,DRL,12.966817680826924,2.0,-1.523748755455017
117,79.82463836669922,-0.17684543132781982,-19.985401153564453,0.0,0.0,DRL,13.656221443674578,2.0,-1.5094044208526611
118,80.5322494506836,-0.6502809524536133,-19.961397171020508,0.0,0.0,DRL,14.378285449183945,2.0,-0.854691743850708
119,81.23406219482422,-1.12807035446167,-19.942869186401367,0.0,0.0,DRL,15.133891115839388,2.0,0.06617355346679688
120,81.9366455078125,-1.5264137983322144,-19.96387481689453,0.0,0.0,DRL,15.824281832937443,2.0,1.5848634243011475
121,82.6444091796875,-1.7301154136657715,-20.070072174072266,0.0,0.0,DRL,16.498712274819955,2.0,1.9141016006469727
122,83.34576416015625,-1.6555123329162598,-20.188615798950195,0.0,0.0,DRL,17.250219187747486,2.0,1.8866386413574219
123,84.0479736328125,-1.3605607748031616,-20.241718292236328,0.0,0.0,DRL,17.910731145181355,2.0,1.8036866188049316
124,84.7506103515625,-0.9227919578552246,-20.252653121948242,0.0,0.0,DRL,18.57122059678782,2.0,1.4284119606018066
125,85.45372009277344,-0.41398435831069946,-20.245590209960938,0.0,0.0,DRL,19.29737483192798,2.0,-0.06055259704589844
126,86.15682983398438,0.060358598828315735,-20.274656295776367,0.0,0.0,DRL,19.949936507427132,2.0,1.9401917457580566
127,86.86029815673828,0.4394136369228363,-20.277799606323242,0.0,0.0,DRL,20.690797600251393,2.0,1.9855177402496338
128,87.56901550292969,0.8920222520828247,-20.272640228271484,0.0,0.0,DRL,21.452708025291127,2.0,1.9908685684204102
129,88.27122497558594,1.4318888187408447,-20.262544631958008,0.0,0.0,DRL,22.22539542550234,2.0,1.8891043663024902
130,88.97419738769531,2.0320448875427246,-20.250381469726562,0.0,0.0,DRL,22.924955278195448,2.0,-0.35873913764953613
131,89.67730712890625,2.591891050338745,-20.303218841552734,0.0,0.0,DRL,23.696023408993828,2.0,-1.887900948524475
132,90.38041687011719,2.860990285873413,-20.52875328063965,0.0,0.0,DRL,24.358291878861067,2.0,-1.96619713306427
133,91.0831069946289,2.7978813648223877,-20.709781646728516,0.0,0.0,DRL,24.983569475903995,2.0,-1.9458191394805908
134,91.78531646728516,2.4996471405029297,-20.783920288085938,0.0,0.0,DRL,25.74475089712883,2.0,-1.804342269897461
135,92.48831939697266,2.0528934001922607,-20.802932739257812,0.0,0.0,DRL,26.483914213811385,2.0,-1.2215622663497925
136,93.1914291381836,1.5424312353134155,-20.799732208251953,0.0,0.0,DRL,27.075264350220806,2.0,0.21912288665771484
137,93.89453887939453,1.0896141529083252,-20.84246826171875,0.0,0.0,DRL,27.714082533677676,2.0,1.490567922592163
138,94.59851837158203,0.8595551252365112,-20.989166259765625,0.0,0.0,DRL,28.498387399183287,2.0,1.628617286682129
139,95.30713653564453,0.8932091593742371,-21.084922790527344,0.0,0.0,DRL,29.176316475309054,2.0,1.012526512145996
140,96.00943756103516,1.1081247329711914,-21.086223602294922,0.0,0.0,DRL,30.00267912596844,2.0,-1.1685032844543457
141,96.71714782714844,1.3319590091705322,-21.105527877807617,0.0,0.0,DRL,30.65352158207588,2.0,-1.8575271368026733
142,97.41919708251953,1.3306362628936768,-21.216508865356445,0.0,0.0,DRL,31.333258600160892,2.0,-1.9139395952224731
143,98.12667846679688,1.0954151153564453,-21.273786544799805,0.0,0.0,DRL,32.06015794602819,2.0,-1.8553355932235718
144,98.8283462524414,0.6956945657730103,-21.283048629760742,0.0,0.0,DRL,32.62360307218642,0.0,-1.6077156066894531
